"date","Avg Air Temp (˚F)","Max Air Temp (˚F)","Min Air Temp (˚F)","Total Precipitation","Relative Humidity (hrs >= 90)","Avg Wind Speed (mph)"
"05/01/2025","57.0","78","36","0","4","8.7"
"05/02/2025","65.0","73","57","0.55","14","10.1"
"05/03/2025","51.5","57","46","0.34","24","5.1"
"05/04/2025","50.5","56","45","0.3","24","3.9"
"05/05/2025","61.5","69","54","0.16","17","5.7"
"05/06/2025","62.0","72","51.9","1.65","18","8.1"
"05/07/2025","59.5","68","50.9","0.21","16","6.5"
"05/08/2025","48.5","54","43","0","24","7.6"
"05/09/2025","42.5","45","40","0.24","24","8.3"
"05/10/2025","53.0","67","39","0.01","11","8.4"
"05/11/2025","48.5","58","39","0","10","7.5"
"05/12/2025","59.0","81","37","0","6","7"
"05/13/2025","62.5","70","55","0.1","7","7.6"
"05/14/2025","62.0","64","60","0","15","10.5"
"05/15/2025","67.5","76","59","0","13","6.5"
"05/16/2025","70.5","81","60","0.13","14","7.2"
"05/17/2025","66.0","77","55","0.16","14","9.6"
"05/18/2025","54.0","58","50","0.03","13","11.7"
"05/19/2025","45.5","51","40","0","13","10.8"
"05/20/2025","45.0","55","35","0","12","7"
"05/21/2025","46.0","51","41","0.41","21","8.7"
"05/22/2025","47.5","51","44","0.17","24","10.2"
"05/23/2025","49.0","52","46","0.22","17","7.3"
"05/24/2025","47.5","50","45","0.48","24","8.8"
"05/25/2025","51.0","59","43","0.08","16","7.6"
"05/26/2025","52.0","67","37","0","11","4.1"
"05/27/2025","58.0","72","44","0","11","4.4"
"05/28/2025","54.5","63","46","0.4","18","7.3"
"05/29/2025","60.5","68","53","0.09","15","4.9"
"05/30/2025","62.5","72","53","0","12","5"
"05/31/2025","52.0","58","46","0.18","23","10.4"
"06/01/2025","50.5","56","45","0.06","13","8.1"
"06/02/2025","54.0","68","40","0.01","10","4.5"
"06/03/2025","61.5","79","44","0","7","5.6"
"06/04/2025","74.0","88","60","0","0","8.7"
"06/05/2025","75.0","85","65","0.52","8","5.8"
"06/06/2025","67.0","72","62","0.34","24","2.2"
"06/07/2025","65.5","75","56","0.33","16","6.8"
"06/08/2025","63.5","77","50","0.04","13","4.4"
"06/09/2025","69.0","78","60","0.57","15","9.7"
"06/10/2025","63.0","73","53","0.22","12","7.3"
"06/11/2025","64.5","80","49","0","7","6.1"
"06/12/2025","63.5","73","54","0","2","8"
"06/13/2025","62.0","73","51","0","7","3.9"
"06/14/2025","60.5","65","56","0","20","3.1"
"06/15/2025","65.0","69","61","0","18","3.6"
"06/16/2025","64.0","69","59","0.01","14","7.5"
"06/17/2025","68.0","74","62","0","16","8.7"
"06/18/2025","76.5","85","68","0.24","18","5.5"
"06/19/2025","73.5","84","63","0.14","13","11.5"
"06/20/2025","68.0","77","59","0","13","10.6"
"06/21/2025","71.0","85","57","0","8","4.8"
"06/22/2025","79.0","88","70","0.37","10","5.7"
"06/23/2025","80.0","93","67","0","12","4.6"
"06/24/2025","80.0","94","66","0","9","5.8"
"06/25/2025","76.5","85","68","0","10","5"
"06/26/2025","68.0","72","64","0.04","19","5.1"
"06/27/2025","63.0","67","59","0.07","22","11.3"
"06/28/2025","74.0","86","62","0.02","14","10.5"
"06/29/2025","67.5","78","57","0","10","4.2"
"06/30/2025","72.5","87","58","0.04","11","6.7"
"07/01/2025","74.5","84","65","0","14","7.8"
"07/02/2025","70.0","81","59","0","11","5.2"
"07/03/2025","65.5","76","55","0.33","12","5.3"
"07/04/2025","62.5","74","51","0","10","5.1"
"07/05/2025","70.0","87","53","0","8","5.4"
"07/06/2025","80.5","90","71","0","0","8.9"
"07/07/2025","80.0","90","70","0.73","10","8.6"
"07/08/2025","71.0","76","66","0","21","4.8"
"07/09/2025","70.5","80","61","0","13","2.2"
"07/10/2025","72.0","81","63","0","12","3.2"
"07/11/2025","74.5","86","63","0","12","4.2"
"07/12/2025","79.0","90","68","0.02","11","6.3"
"07/13/2025","78.0","85","71","0.37","16","8.4"
"07/14/2025","75.0","82","68","0.02","15","4.2"
"07/15/2025","75.0","85","65","0","14","2.8"
"07/16/2025","77.0","89","65","0.05","10","6.9"
"07/17/2025","78.3","86","70.5","0","11","12"
"07/18/2025","62.5","72","53","0.01","10","7.9"
"07/19/2025","68.0","83","53","0","10","6.8"
"07/20/2025","71.0","80","62","0","15","6.6"
"07/21/2025","60.5","70","51","0","10","7.8"
"07/22/2025","61.5","75","48","0","9","3.7"
"07/23/2025","67.5","83","52","0","7","6.2"
"07/24/2025","79.0","91","67","0","8","8.5"
"07/25/2025","74.0","81","67","0.41","11","5.9"
"07/26/2025","73.5","85","62","0.04","15","5.7"
"07/27/2025","76.0","84","68","0.28","16","6.3"
"07/28/2025","76.5","88","65","0","15","2.5"
"07/29/2025","77.0","88","66","0","12","3.9"
"07/30/2025","75.5","87","64","0","11","3.8"
"07/31/2025","64.0","69","59","0.62","24","4.2"
"08/01/2025","61.0","72","50","0","11","4.9"
"08/02/2025","59.0","73","45","0","12","4.7"
"08/03/2025","65.0","80","50","0","12","4.5"
"08/04/2025","67.5","80","55","0","12","4.3"
"08/05/2025","71.0","85","57","0","11","4"
"08/06/2025","70.0","80","60","0","10","6.3"
"08/07/2025","70.0","82","58","0","12","4.8"
"08/08/2025","73.0","84","62","0","8","6.1"
"08/09/2025","71.5","86","57","0","8","5.8"
"08/10/2025","74.0","89","59","0","6","6.6"
"08/11/2025","72.5","90","55","0","4","6.3"
"08/12/2025","78.0","93","63","0","4","4.6"
"08/13/2025","75.5","84","67","0.06","11","3.8"
"08/14/2025","72.0","84","60","0","14","5.3"
"08/15/2025","70.0","85","55","0","9","3.9"
"08/16/2025","74.0","88","60","0","7","4.9"
"08/17/2025","72.5","83","62","0","15","6.9"
"08/18/2025","61.0","74","48","0","12","4.3"
"08/19/2025","64.5","80","49","0","7","8.3"
"08/20/2025","62.0","67","57","1.07","22","9.4"
"08/21/2025","63.5","70","57","0","17","5.7"
"08/22/2025","64.6","77.1","52.1","0","12","3"
"08/23/2025","69.7","81","58.3","0","1","10.1"
"08/24/2025","72.5","81","64","0.56","9","8.6"
"08/25/2025","61.5","68","55","0.06","11","5.8"
"08/26/2025","59.0","72","46","0.01","12","4.8"
"08/27/2025","58.1","66","50.2","0.12","16","6.3"
"08/28/2025","58.0","73","43","0.09","11","7.1"
"08/29/2025","56.6","64","49.2","0.14","16","7.7"
"08/30/2025","54.5","66","43","0","9","5"
"08/31/2025","56.5","72","41","0","11","3.3"
"09/01/2025","60.5","75","46","0","11","3"
"09/02/2025","62.5","77","48","0","8","4.4"
"09/03/2025","63.5","79","48","0","3","7.2"
"09/04/2025","67.4","77","57.8","0.49","7","9.5"
"09/05/2025","61.5","77","46","0","11","9.2"
"09/06/2025","61.5","66","57","0.19","20","3.9"
"09/07/2025","54.0","64","44","0","13","4.6"
"09/08/2025","52.0","65","39","0","14","4.2"
"09/09/2025","57.5","73","42","0","11","4.5"
"09/10/2025","59.0","73","45","0","10","4.9"
"09/11/2025","60.5","75","46","0","12","5.5"
"09/12/2025","61.0","75","47","0","13","3.2"
"09/13/2025","63.0","73","53","0","13","2.4"
"09/14/2025","64.5","75","54","0","11","3.8"
"09/15/2025","60.5","75","46","0","16","2.4"
"09/16/2025","64.9","79","50.8","0","10","2.9"
"09/17/2025","64.3","75","53.5","0","7","4"
"09/18/2025","63.5","79","48","0","9","4.5"
"09/19/2025","58.0","70","46","0","8","6"
"09/20/2025","55.5","72","39","0","9","3.7"
